Image,Licence,Author,Source ,Notes
,,,,
nucleusem.png,Public domain,,Wikipedia,
erem.png,Public domain,,Wikipedia,
golgiem.png,Public domain,,Wikipedia,
mitochondriaem.png,Public domain,,Wikipedia,
lysosomeem.png,Public domain,,Wikipedia,"Edited with photoshop to remove some of the labels, added a red arrow"
centrosomeem.png,Public domain,,Wikipedia,
actinem.png,CC BY 3.0,Daniel Newman,This repo,Placeholder
microtubuleem.png,CC BY 3.0,Daniel Newman,This repo,Placeholder
,,,,
actindrawing.png,CC BY 3.0,Daniel Newman,This repo,Original cartoon made for this game
microtubuledrawing.png,CC BY 3.0,Daniel Newman,This repo,Original cartoon made for this game
erdrawing.png,CC BY 3.0,Magnus Manske Derivative work: Pbroks13,Wikimedia commons,Edited to show just er
lysosomedrawing.png,CC BY 3.0,Daniel Newman,This repo,Original cartoon made for this game
nucleusdrawing.png,Public domain,Mariana Ruiz LadyofHats,Wikimedia commons,
centrosomedrawing.png,CC BY 3.0,Kelvinsong,Wikimedia commons,
mitochondriadrawing.png,CC0,Kelvinsong,Wikimedia commons,
,,,,
All IF images are currently placeholders,,,,